Name,Access_Source__c,Account_Path__c,Actionability_Score__c,Aggregatable__c,Bucketing_Strategy__c,Business_Concept__c,Canonical_Field_Key__c,Cardinality_Suitability_Score__c,Classification_Basis__c,Cohort_Dimension_Type__c,Cohort_Suitability_Score__c,Cohort_Suitable__c,Controllability_Score__c,Coverage_Pct__c,Direction_Hypothesis__c,Distinct_Count__c,Earliest_Date__c,Eligibility_Status__c,Exclusion_Reason__c,Explainability_Score__c,Field_Label__c,Field_Type__c,Grain__c,Last_Profiled_At__c,Latest_Date__c,Leakage_Risk_Score__c,Measurement_Concepts__c,Metric_Archetypes__c,Observation_Type__c,Origin_System__c,Peer_Group_Utility_Score__c,Populated_Count__c,Predictive_Prior_Score__c,Primary_Source_Role__c,Primary_Theme__c,Profile_Summary__c,Provenance_Role__c,Reference_Evidence__c,Sample_Values__c,Secondary_Themes__c,Source_Confidence_Score__c,Source_Field__c,Source_Object__c,Source_Roles__c,Stability_Prior_Score__c,Windowable__c
Account.BillingLatitude,salesforce,Account.Id,0.25,True,QUANTILES_OR_BUSINESS_BANDS,Billing Latitude,salesforce:Account:BillingLatitude,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE | recommended_use=AGGREGATE,NUMERIC_BAND,0.65,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Latitude,double,Account,,,0.1,,TREND;VARIABILITY,MEASURE,salesforce,0.65,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,BillingLatitude,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.BillingLongitude,salesforce,Account.Id,0.25,True,QUANTILES_OR_BUSINESS_BANDS,Billing Longitude,salesforce:Account:BillingLongitude,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE | recommended_use=AGGREGATE,NUMERIC_BAND,0.65,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Longitude,double,Account,,,0.1,,TREND;VARIABILITY,MEASURE,salesforce,0.65,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,BillingLongitude,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.BillingPostalCode,salesforce,Account.Id,0.25,True,NONE,Billing Zip/Postal Code,salesforce:Account:BillingPostalCode,0.05,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Zip/Postal Code,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,BillingPostalCode,Account,PROFILE_INPUT,0.5,False
Account.BillingState,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Billing State/Province,salesforce:Account:BillingState,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PROCESS_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing State/Province,string,Account,,,0.1,PROCESS_STEPS,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,PROCESS,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Bill State Cohort; recipe_keys=HIST_SFDC_AA3657ADB72D24754634 | historical_prior_average=0.45,,,0.85,BillingState,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.BillingStreet,salesforce,Account.Id,0.25,False,NONE,Billing Street,salesforce:Account:BillingStreet,0.05,Account-level profile/cohort prior. | final_usage=UNSTRUCTURED_TEXT | final_roles=TEXT | recommended_use=SEMANTIC_EXTRACTION_OR_CONTEXT,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Billing Street,textarea,Account,,,0.1,,,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,BillingStreet,Account,PROFILE_INPUT,0.5,False
Account.C1_Account_Rank__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,C1 Account Rank,salesforce:Account:C1_Account_Rank__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,C1 Account Rank,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,C1_Account_Rank__c,Account,PROFILE_INPUT,0.7,False
Account.CleanStatus,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_AFTER_PROFILE,Clean Status,salesforce:Account:CleanStatus,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PROCESS_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.7,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Clean Status,picklist,Account,,,0.1,PROCESS_STEPS,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.7,,0.5,PROFILE_INPUT,PROCESS,,PROFILE / CRM SOURCE,,,,0.85,CleanStatus,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.Community_Users__c,salesforce,Account.Id,0.25,True,QUANTILES_OR_BUSINESS_BANDS,Community Users,salesforce:Account:Community_Users__c,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE | recommended_use=AGGREGATE,NUMERIC_BAND,0.65,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Community Users,double,Account,,,0.1,PRODUCT_ADOPTION,TREND;VARIABILITY,MEASURE,salesforce,0.65,,0.5,PROFILE_INPUT,PRODUCT_SERVICE,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=1; no_signal=0; examples=# community users; recipe_keys=HIST_SFDC_E1E7D55D32CE863230C9 | historical_prior_average=0.75,,,0.85,Community_Users__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.CreatedById,salesforce,Account.Id,0.25,True,NONE,Created By ID,salesforce:Account:CreatedById,0.1,Account-level profile/cohort prior. | final_usage=SYSTEM_METADATA | final_roles=SYSTEM_METADATA | recommended_use=IGNORE,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Created By ID,reference,Account,,,0.1,,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,IGNORE,TIME,,PROFILE / CRM SOURCE,,,,0.85,CreatedById,Account,SYSTEM_METADATA,0.5,False
Account.CreatedDate,salesforce,Account.Id,0.25,True,DERIVE_SEMANTIC_INTERVAL_FIRST,Created Date,salesforce:Account:CreatedDate,0.2,Account-level profile/cohort prior. | final_usage=SYSTEM_DATE | final_roles=SYSTEM_METADATA;SYSTEM_DATE | recommended_use=DO_NOT_USE_AS_BUSINESS_TIME,DATE_DERIVED_REVIEW,0.3,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Created Date,datetime,Account,,,0.1,,RECENCY;DURATION,TIMEPOINT,salesforce,0.3,,0.5,IGNORE,TIME,,PROFILE / CRM SOURCE,,,,0.85,CreatedDate,Account,SYSTEM_DATE,0.7,False
Account.CS_Division_Stamp__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,CS Division Stamp,salesforce:Account:CS_Division_Stamp__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,CS Division Stamp,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,CS_Division_Stamp__c,Account,PROFILE_INPUT,0.7,False
Account.CS_Experience__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,CS Experience,salesforce:Account:CS_Experience__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,CS Experience,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=2; signal=1; no_signal=1; examples=Account complexity flag | CS Experience cohort; recipe_keys=HIST_SFDC_C4E2515341C7BC5E7891;HIST_SFDC_9167C35C71E5F3A046BE | historical_prior_average=0.6,,,0.85,CS_Experience__c,Account,PROFILE_INPUT,0.7,False
Account.Customer_Health__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Customer Health,salesforce:Account:Customer_Health__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Customer Health,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Customer_Health__c,Account,PROFILE_INPUT,0.7,False
Account.Customer_Manager_Name__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Customer Manager Name,salesforce:Account:Customer_Manager_Name__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PEOPLE_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Customer Manager Name,string,Account,,,0.1,PEOPLE_OWNERSHIP;PEOPLE_ROLE;PEOPLE_HANDOFF,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,PEOPLE,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Customer Manager cohort; recipe_keys=HIST_SFDC_41DABEEAFBE2D692ED4B | historical_prior_average=0.45,,,0.85,Customer_Manager_Name__c,Account,PROFILE_INPUT,0.7,False
Account.Customer_Segment__c,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Customer Segment,salesforce:Account:Customer_Segment__c,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Customer Segment,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Segement Account Cohort; recipe_keys=HIST_SFDC_6136466EF1D87B83ED81 | historical_prior_average=0.45,,,0.85,Customer_Segment__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.Customer_Since_Date__c,salesforce,Account.Id,0.25,True,TENURE_YEARS_AND_BANDS,Customer Since Date,salesforce:Account:Customer_Since_Date__c,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=BUSINESS_DATE;WINDOW | recommended_use=RECENCY;WINDOW,TENURE,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Customer Since Date,date,Account,,,0.1,PEOPLE_RELATIONSHIP_COVERAGE;VALUE_RELATIONSHIP_DURABILITY,RECENCY;DURATION,TIMEPOINT,salesforce,0.95,,0.5,PROFILE_INPUT,PEOPLE,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=1; no_signal=0; examples=Account Tenure; recipe_keys=HIST_SFDC_97388D08C75C2E9F42C3 | historical_prior_average=0.75,,VALUE;TIME,0.85,Customer_Since_Date__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.95,False
Account.DandbCompanyId,salesforce,Account.Id,0.25,True,NONE,D&B Company ID,salesforce:Account:DandbCompanyId,0.1,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;HANDOFF_OR_OWNERSHIP | recommended_use=COUNT_DISTINCT;TRANSITION,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,D&B Company ID,reference,Account,,,0.1,,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,DandbCompanyId,Account,PROFILE_INPUT,0.5,False
Account.Description,salesforce,Account.Id,0.25,False,NONE,Account Description,salesforce:Account:Description,0.05,Account-level profile/cohort prior. | final_usage=UNSTRUCTURED_TEXT | final_roles=TEXT | recommended_use=SEMANTIC_EXTRACTION_OR_CONTEXT,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Account Description,textarea,Account,,,0.1,,,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Description,Account,PROFILE_INPUT,0.5,False
Account.Division_Name__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Division Name,salesforce:Account:Division_Name__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Division Name,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Division Name Cohort; recipe_keys=HIST_SFDC_868AC205604332A16BC1 | historical_prior_average=0.45,,,0.85,Division_Name__c,Account,PROFILE_INPUT,0.7,False
Account.DNB_Location_Type__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,DNB Location Type,salesforce:Account:DNB_Location_Type__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PROCESS_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,DNB Location Type,string,Account,,,0.1,PROCESS_STEPS;PROCESS_COMPLETION;PROCESS_COMPLIANCE,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,PROCESS,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=DnB Location Cohort; recipe_keys=HIST_SFDC_E99C7E9F034CC70C8F3A | historical_prior_average=0.45,,,0.85,DNB_Location_Type__c,Account,PROFILE_INPUT,0.7,False
Account.DNB_Out_Of_Business_Status__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,DNB Out of Business Status,salesforce:Account:DNB_Out_Of_Business_Status__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PROCESS_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,DNB Out of Business Status,string,Account,,,0.1,PROCESS_STEPS,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,PROCESS,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=DnB Business Indicator Cohort; recipe_keys=HIST_SFDC_9969FBBCDDB04857D072 | historical_prior_average=0.45,,,0.85,DNB_Out_Of_Business_Status__c,Account,PROFILE_INPUT,0.7,False
Account.DNB_SIC4_Description__c,salesforce,Account.Id,0.25,True,NONE,DNB SIC4 Description,salesforce:Account:DNB_SIC4_Description__c,0.05,Account-level profile/cohort prior. | final_usage=UNSTRUCTURED_TEXT | final_roles=TEXT | recommended_use=SEMANTIC_EXTRACTION_OR_CONTEXT,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,DNB SIC4 Description,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=DNB SIC4 cohort; recipe_keys=HIST_SFDC_C0E04FF24503C4E4DE78 | historical_prior_average=0.45,,,0.85,DNB_SIC4_Description__c,Account,PROFILE_INPUT,0.5,False
Account.DNB_Zip_Postal_Code__c,salesforce,Account.Id,0.25,True,NONE,DNB Zip Postal Code,salesforce:Account:DNB_Zip_Postal_Code__c,0.05,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,DNB Zip Postal Code,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,DNB_Zip_Postal_Code__c,Account,PROFILE_INPUT,0.5,False
